control_r1	control_r2	control_r3	MI_IZ_r1	MI_IZ_r2	MI_IZ_r3	MI_IZ_r4	MI_remote_r1	MI_remote_r2	MI_remote_r3	MI_remote_r4	Protein_Ids	Genes	imputed_values
9.93592524830345	10.2717476878308	10.1629451367744	12.600182392753	11.5679277025331	11.6335674374654	11.4397522713846	10.4331889845737	10.6574435075081	10.6648738965244	10.8732831438172	A0A075B5M7	Igkv5-39	4
10.4177048631012	12.9090886545358	11.5319369860965	14.753812176821	11.0340836266154	14.1378156853913	12.1430387629166	12.323178639843	12.4696351308259	13.1007625226823	12.6856777481518	A0A075B5M7;A0A0B4J1J2;A0A0B4J1J1	Igkv5-39;Igkv5-43;Igkv5-45	2
11.7637269303473	11.9791630744479	11.9825622698643	12.1292379320205	12.4571730790825	12.41464295841	12.0977523362267	11.8763788095757	12.1660375162558	12.1679574874981	12.4704148458054	A0A075B5N2;P01657;P01634;A0A140T8P2;P01632	Igkv6-20;Igkv6-29;Igkv7-33	1
10.3767548705308	10.092572132267	9.74151249125137	11.7711138907297	11.1633100304055	10.920955713435	11.0965692782778	9.87675174909622	10.077029313819	10.256491773434	10.8991680761343	A0A075B5R5	Ighv4-1	2
10.1050119421749	10.1279977811452	10.0235464571911	11.7747335339635	10.4179368805501	12.1174970065105	11.0002887918781	10.8700795433417	10.4106103466045	9.8281967936173	10.6234079578817	A0A075B5U6;P06330;A0A075B5V0;A0A075B5V1;A0A075B5V2;A0A075B5U7;A0A075B5V6;A0A075B5V7	Ighv1-20;Ighv1-22;Ighv1-26;Ighv1-31;Ighv1-34;Ighv1-42;Ighv1-43	3
12.8703319657184	13.5482800737718	13.3104991791522	13.6704238945506	13.7983502888222	14.0262035381875	14.1414685553931	13.6661352188381	13.8993758062425	13.677631562332	13.9463031983698	A0A087WQY2	2410004P03Rik	0
12.6431459385065	12.7196647549028	12.487689326609	12.3163239633293	12.4473157335362	12.6739406133424	12.1530262832082	12.7433660148079	12.921989660856	13.0357252769386	13.057101605831	A0A087WR45	Prob1	0
11.7410540064041	11.8043649963714	11.7918547603173	12.4330663739715	12.4297859352968	11.3713464937718	12.0459950867277	12.1052701515444	12.2557013557796	12.1068017341461	11.9025183216194	A0A0A6YVU8;Q9JKV1	Adrm1;Gm9774	0
11.3057311764046	11.2680155866652	10.8969832107878	12.6237626319138	11.3738765503841	12.7364526699937	12.6279442008139	11.9651854419517	11.4803913604269	11.6807594840602	11.2974493779758	A0A0A6YVW3;A0A075B5U4;A0A075B5V0;A0A075B5V1;A0A075B5V2;A0A075B5Y4;A0A0A6YXA5;A0A075B5U7	Ighv1-15;Ighv1-18;Ighv1-22;Ighv1-23;Ighv1-26;Ighv1-31;Ighv1-34;Ighv1-81	0
10.0984532463093	11.222160943602	10.1534253628428	12.3653108803751	11.4930298153884	12.0078542310757	11.526450333391	11.1521136864333	11.1156874506274	11.2603550437639	10.5351100988541	A0A0A6YXW6	Igha	0
9.22366870615242	9.72333670684465	9.2402642348862	10.232241028798	10.8267073656613	10.3653382230464	10.33254011661	9.84596198592803	9.78036423846643	9.64144705255666	9.96598624783072	A0A0A6YY83	Pcdh7	1
10.0037344299635	10.0715696221411	10.214865492722	10.9674064043118	10.2442898491909	10.2485443235275	8.82512733671255	9.49416356479179	9.79006980288128	9.96166239303214	10.0527718069009	A0A0A6YYE7;A0A0B4J1I4	Igkv4-57;Igkv4-72	3
11.3052580691232	11.1759736269219	11.319914807446	10.8284935427384	11.3372984382104	11.2168993876539	11.0809177800541	11.3411685310594	11.4273390366176	11.6100097571011	11.4519837772302	A0A0J9YTR2	0610012G03Rik	3
10.8126827219098	10.7374807031468	10.7265843223463	11.1040286388042	10.976814693845	11.1643035830937	11.2656677841695	10.99259850536	11.4322861177404	10.9607549497927	10.469092308284	A0A0J9YUD5	Nup205	1
11.7178177728411	12.0669569688821	11.4285486111283	11.4284962695905	12.0116780271941	11.5263427349148	11.6048219141168	11.7863799087281	11.9281000885109	11.5479934211298	11.7136186096172	A0A140LIS8;Q9CXR1	Dhrs7;Gm4756	1
